case,n,method,port_response_mae,node_voltage_mae_norm,displacement_current_error_percent,peak_voltage_error_percent,peak_location_hit,peak_location_distance_norm,edge_retention
64,6,distance,9.910359043641589e-07,5.6012525249921105e-08,30.05993804358471,7.776568501533499e-06,1.0,0.0,0.38888888888888884
64,6,magnitude,9.306973379227349e-07,4.880081823923893e-08,28.020850015979708,6.970759107565243e-06,1.0,0.0,0.38888888888888884
64,6,fisher_proxy,6.732406186459501e-07,6.449731034079312e-08,28.37400816883739,6.956897543292705e-06,1.0,0.0,0.38888888888888884
64,6,oracle_edge_current,7.069014117955241e-07,5.161462083921886e-08,25.647077314814805,6.165643648562928e-06,1.0,0.0,0.38888888888888884
64,6,learned_gate,7.069014117955241e-07,5.161462083921886e-08,25.647077314814805,6.165643648562928e-06,1.0,0.0,0.38888888888888884
65,8,distance,3.6342974730827853e-06,2.1855301857619765e-07,38.2722992545678,2.337210431861815e-05,1.0,0.0,0.40625
65,8,magnitude,4.22443654373809e-06,2.040248445387498e-07,41.11433776778731,2.511563717048119e-05,1.0,0.0,0.40625
65,8,fisher_proxy,2.366278263397914e-06,2.2723986308541072e-07,32.94333302275475,1.820430623240969e-05,1.0,0.0,0.40625
65,8,oracle_edge_current,2.496252325363361e-06,1.990853522733477e-07,31.97759858366317,1.7931908253555883e-05,1.0,0.0,0.40625
65,8,learned_gate,2.496252325363361e-06,1.990853522733477e-07,31.97759858366317,1.7931908253555883e-05,1.0,0.0,0.40625
66,4,distance,1.3975152727850603e-06,4.8059174544249793e-08,49.72795724452698,1.2621210413739729e-05,1.0,0.0,0.375
66,4,magnitude,9.219774466958282e-07,4.864543210839618e-08,37.88710931575832,1.0822643440351717e-05,1.0,0.0,0.375
